"ID";"SEARCH_KEY";"BOOK_TITLE";"BOOK_SUBTITLE";"BOOK_AUTHORS";"BOOK_PUBLISHER";"BOOK_DESCRIPTION";"BOOK_INDUSTRYIDENTIFIERS";"TEXT_READINGMODE";"IMAGE_READINGMODE";"PAGECOUNT";"CATEGORIES";"LANGUAGE";"IMAGELINKS";"COUNTRY";"SALEABILITY";"ISEBOOK";"RATINGS_COUNT";"AVERAGE_RATING";"AMOUNT_LISTPRICE";"CURRENCYCODE_LISTPRICE";"AMOUNT_RETAILPRICE";"CURRENCYCODE_RETAILPRICE";"BUYLINK";"PUBLICATION_YEAR"
"__wvEQAAQBAJ";"PYTHON";"Powerful Python";"NA";"['Aaron Maxwell']";"""O'Reilly Media, Inc.""";"Once you've mastered the basics of Python, how do you skill up to the top 1%? How do you focus your learning time on topics that yield the most benefit for production engineering and data teams—without getting distracted by info of little real-world use? This book answers these questions and more. Based on author Aaron Maxwell's software engineering career in Silicon Valley, this unique book focuses on the Python first principles that act to accelerate everything else: the 5% of programming knowledge that makes the remaining 95% fall like dominos. It's also this knowledge that helps you become an exceptional Python programmer, fast. Learn how to think like a Pythonista: explore advanced Pythonic thinking Create lists, dicts, and other data structures using a high-level, readable, and maintainable syntax Explore higher-order function abstractions that form the basis of Python libraries Examine Python's metaprogramming tool for priceless patterns of code reuse Master Python's error model and learn how to leverage it in your own code Learn the more potent and advanced tools of Python's object system Take a deep dive into Python's automated testing and TDD Learn how Python logging helps you troubleshoot and debug more quickly";"ISBN_13";0;1;200;"NA";"en";"http://books.google.com/books/content?id=__wvEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"IN";"NOT_FOR_SALE";0;0;0;0.0;"NA";0.0;"NA";"NA";"2024-11-08"
"_1C7QAAACAAJ";"PIPING";"International Residential Code 2006";"NA";"['(International Code Council (ICC)) International Code Council', 'International Code Council Staff']";"NA";"LOOSE-LEAF VERSION: The 2006 International Residential Codebrings uniformity to construction of one- and two-family dwellings and townhouses up to three stories high. A comprehensive code for homebuilding, this book brings together all building, plumbing, mechanical, and electrical provisions. It establishes minimum regulations using prescriptive provisions, and is founded on broad-based principles that make possible the use of new materials and building designs.";"ISBN_10";0;0;0;"['Building laws']";"en";"http://books.google.com/books/content?id=_1C7QAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";"IN";"NOT_FOR_SALE";0;0;0;0.0;"NA";0.0;"NA";"NA";"2006-02"
"_1lhRIVmXacC";"JAVA";"LDAP Programming with Java";"NA";"['Rob Weltman', 'Tony Dahbura']";"Addison-Wesley Professional";"In this book, the creators of the Directory SDK for Java show how it can be used to build powerful, standards-based directory applications that leverage LDAP directory information on intranets, the Internet, even in e-commerce applications. The CD-ROM includes reference documentation and source code for the Directory SDK for Java and for all examples and programs in the book, as well as the entire text of the book in a fully searchable format.";"ISBN_10";0;1;718;"['Computers']";"en";"http://books.google.com/books/content?id=_1lhRIVmXacC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"IN";"NOT_FOR_SALE";0;0;0;0.0;"NA";0.0;"NA";"NA";"2000"
"_2VCAQAAMAAJ";"PYTHON";"The Selborne Magazine and ""Nature Notes,""";"The Organ of the Selborne Society";"NA";"NA";"NA";"OTHER";0;1;560;"['Natural history']";"en";"http://books.google.com/books/content?id=_2VCAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"IN";"FREE";1;0;0;0.0;"NA";0.0;"NA";"https://play.google.com/store/books/details?id=_2VCAQAAMAAJ&rdid=book-_2VCAQAAMAAJ&rdot=1&source=gbs_api";"1907"
"_7NHzwEACAAJ";"SQL";"Sql: The Complete Reference 2/";"NA";"['Groff']";"Tata McGraw-Hill Education";"Featuring broad coverage of every aspect of this leading database language, this book provides an overview of SQL then shows how to retrieve and update data, program with SQL, use stored procedures, and much more. Covering emerging standards and new related technologies including XML, Web services, EJB, J2EE, and JDBC, it helps gain the knowledge and essential skills needed to effectively work with SQL.";"ISBN_10";0;0;0;"NA";"en";"NA";"IN";"NOT_FOR_SALE";0;0;0;0.0;"NA";0.0;"NA";"NA";"2003"
"_bBhDwAAQBAJ";"PYTHON";"Forecasting: principles and practice";"NA";"['Rob J Hyndman', 'George Athanasopoulos']";"OTexts";"Forecasting is required in many situations. Stocking an inventory may require forecasts of demand months in advance. Telecommunication routing requires traffic forecasts a few minutes ahead. Whatever the circumstances or time horizons involved, forecasting is an important aid in effective and efficient planning. This textbook provides a comprehensive introduction to forecasting methods and presents enough information about each method for readers to use them sensibly.";"ISBN_13";0;1;380;"['Business & Economics']";"en";"http://books.google.com/books/content?id=_bBhDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"IN";"FOR_SALE";1;2;5;2975.46;"INR";2975.46;"INR";"https://play.google.com/store/books/details?id=_bBhDwAAQBAJ&rdid=book-_bBhDwAAQBAJ&rdot=1&source=gbs_api";"2018-05-08"
"_dT8BAAAQBAJ";"PIPING";"Marine and Offshore Pumping and Piping Systems";"NA";"['J. Crawford']";"Elsevier";"Marine and Offshore Pumping and Piping System covers the history, application, installation, maintenance, and safety of different pumping and piping systems. The book covers topics such as pumping arrangements, especially in machinery spaces; water ballast, oil fuel, feed, and cooling water systems; and piping systems for oil and chemical tankers. Also covered are topics such as the arrangements in liquefied gas carriers and fuel gas and coal burning; the required arrangements and systems for specialized ships and its related regulations; the automation of control systems; piping designs, and offshore services. The text is recommended for marine engineers who would like to know more about the pumping and piping systems on ships and offshore services, as well as their arrangements.";"ISBN_13";0;1;391;"['Technology & Engineering']";"en";"http://books.google.com/books/content?id=_dT8BAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"IN";"FOR_SALE";1;0;0;5246.28;"INR";5246.28;"INR";"https://play.google.com/store/books/details?id=_dT8BAAAQBAJ&rdid=book-_dT8BAAAQBAJ&rdot=1&source=gbs_api";"2016-02-03"
"_F4BAAAAQAAJ";"JAVA";"The Rambles of a Globe Trotter in Australasia, Japan, China, Java, India, and Cashmere";"NA";"['Egerton K. Laird']";"London : Chapman & Hall";"NA";"OTHER";0;1;392;"['Australasia']";"en";"http://books.google.com/books/content?id=_F4BAAAAQAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"IN";"FREE";1;0;0;0.0;"NA";0.0;"NA";"https://play.google.com/store/books/details?id=_F4BAAAAQAAJ&rdid=book-_F4BAAAAQAAJ&rdot=1&source=gbs_api";"1875"
"_fsElhcbSwIC";"PYTHON";"Python For Dummies";"NA";"['Stef Maruch', 'Aahz Maruch']";"John Wiley & Sons";"Python is one of the most powerful, easy-to-read programming languages around, but it does have its limitations. This general purpose, high-level language that can be extended and embedded is a smart option for many programming problems, but a poor solution to others. Python For Dummies is the quick-and-easy guide to getting the most out of this robust program. This hands-on book will show you everything you need to know about building programs, debugging code, and simplifying development, as well as defining what actions it can perform. You’ll wrap yourself around all of its advanced features and become an expert Python user in no time. This guide gives you the tools you need to: Master basic elements and syntax Document, design, and debug programs Work with strings like a pro Direct a program with control structures Integrate integers, complex numbers, and modules Build lists, stacks, and queues Create an organized dictionary Handle functions, data, and namespace Construct applications with modules and packages Call, create, extend, and override classes Access the Internet to enhance your library Understand the new features of Python 2.5 Packed with critical idioms and great resources to maximize your productivity, Python For Dummies is the ultimate one-stop information guide. In a matter of minutes you’ll be familiar with Python’s building blocks, strings, dictionaries, and sets; and be on your way to writing the program that you’ve dreamed about!";"ISBN_13";1;1;443;"['Computers']";"en";"http://books.google.com/books/content?id=_fsElhcbSwIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"IN";"NOT_FOR_SALE";0;3;2;0.0;"NA";0.0;"NA";"NA";"2011-05-09"
"_g5QDwAAQBAJ";"JAVA";"Functional Programming in Java";"Harnessing the Power Of Java 8 Lambda Expressions";"['Venkat Subramaniam']";"Pragmatic Bookshelf";"Intermediate level, for programmers fairly familiar with Java, but new to the functional style of programming and lambda expressions. Get ready to program in a whole new way. Functional Programming in Java will help you quickly get on top of the new, essential Java 8 language features and the functional style that will change and improve your code. This short, targeted book will help you make the paradigm shift from the old imperative way to a less error-prone, more elegant, and concise coding style that's also a breeze to parallelize. You'll explore the syntax and semantics of lambda expressions, method and constructor references, and functional interfaces. You'll design and write applications better using the new standards in Java 8 and the JDK. Lambda expressions are lightweight, highly concise anonymous methods backed by functional interfaces in Java 8. You can use them to leap forward into a whole new world of programming in Java. With functional programming capabilities, which have been around for decades in other languages, you can now write elegant, concise, less error-prone code using standard Java. This book will guide you though the paradigm change, offer the essential details about the new features, and show you how to transition from your old way of coding to an improved style. In this book you'll see popular design patterns, such as decorator, builder, and strategy, come to life to solve common design problems, but with little ceremony and effort. With these new capabilities in hand, Functional Programming in Java will help you pick up techniques to implement designs that were beyond easy reach in earlier versions of Java. You'll see how you can reap the benefits of tail call optimization, memoization, and effortless parallelization techniques. Java 8 will change the way you write applications. If you're eager to take advantage of the new features in the language, this is the book for you. What you need: Java 8 with support for lambda expressions and the JDK is required to make use of the concepts and the examples in this book.";"ISBN_13";1;1;261;"['Computers']";"en";"http://books.google.com/books/content?id=_g5QDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"IN";"NOT_FOR_SALE";0;0;0;0.0;"NA";0.0;"NA";"NA";"2014-02-19"
